1,3.7e-07,0.00092522,0.00092485
2,0.01533971,0.01590545,0.00056574
3,0.03101185,0.03177763,0.00076578
4,0.0464748,0.04690048,0.00042568
5,0.06225336,0.06309118,0.00083782
6,0.07787685,0.07855998,0.00068313
7,0.09365541,0.0943901,0.00073469
8,0.10904303,0.10968118,0.00063815
9,0.12477843,0.12530285,0.00052442
10,0.14031087,0.14087295,0.00056208
11,0.15605761,0.1568574,0.00079979
12,0.17154616,0.17218979,0.00064363
13,0.18729948,0.18806197,0.00076249
14,0.20272111,0.20337791,0.0006568
15,0.21847297,0.21909137,0.0006184
16,0.23413523,0.23485859,0.00072336
17,0.24976495,0.25042613,0.00066118
18,0.26525423,0.26608328,0.00082905
19,0.28111178,0.28179966,0.00068788
20,0.29677221,0.29750837,0.00073616
21,0.31238437,0.31281224,0.00042787
22,0.32784367,0.32836552,0.00052185
23,0.34368366,0.3441214,0.00043774
24,0.35904166,0.35988606,0.0008444
25,0.37488677,0.37556332,0.00067655
26,0.39029121,0.39104383,0.00075262
27,0.4061952,0.40686736,0.00067216
28,0.42184466,0.42224913,0.00040447
29,0.43248365,0.43326223,0.00077858
30,0.44348212,0.44419487,0.00071275
31,0.45953349,0.46010545,0.00057196
32,0.47502716,0.47570042,0.00067326
33,0.4907622,0.49139523,0.00063303
34,0.50625295,0.50684904,0.00059609
35,0.52191923,0.52257128,0.00065205
36,0.53764549,0.5384365,0.00079101
37,0.55321267,0.55369174,0.00047907
38,0.56334443,0.56410765,0.00076322
39,0.57335185,0.57390333,0.00055148
40,0.59409114,0.59480975,0.00071861
41,0.60973073,0.61043397,0.00070324
42,0.625442,0.62584061,0.00039861
43,0.64103331,0.64162684,0.00059353
44,0.65671313,0.65711138,0.00039825
45,0.67231688,0.67283434,0.00051746
46,0.68815723,0.68870396,0.00054673
47,0.70348927,0.70408097,0.0005917
48,0.71942983,0.72018281,0.00075298
49,0.73475784,0.73540367,0.00064583
